"Factor","R2","p.value"
"Age",0.000434384206624396,0.217
"Gender",0.000152587620822045,0.935
"BMI",0.000359411625594801,0.357
"Education",0.0068080078615294,0.001
"Marital_status",0.000341196809888387,0.443
"family_income_cat",0.00712447208949608,0.001
"Smoking_status",0.00107813175680756,0.071
"Dringking_status",0.00108897957462804,0.067
"Energy_intake",0.00016527041216238,0.916
"Zn_intake",0.000434518207919761,0.223
"act_sports_intense",0.00119854619052063,0.001
"Family_diabetes_history",0.00189548638237726,0.001
"Serum_Zn",0.00053376271967529,0.133
