"reg_type","bacterium","phenotype","beta","low_ci","up_ci","t_or_z","p_value","FDR_p","sig_p","sig_FDR_p"
"logistic","g_Ralstonia","T2DM",-0.0340286124891257,-0.168383130171145,0.102524735535945,-0.492789765114774,0.622161143248553,0.888801633212218,"",""
"logistic","g_Sediminibacterium","T2DM",-0.010836073117652,-0.144703747061342,0.123990422590926,-0.15821147247562,0.87429016388328,0.934271583531619,"",""
"logistic","g_Bradyrhizobium","T2DM",0.0506801182712043,-0.0868049870405662,0.188869490044149,0.721246933886051,0.470757599952839,0.724242461465907,"",""
"logistic","g_Adlercreutzia","T2DM",-0.116585285094019,-0.268896320307867,0.0197498286568258,-1.5909600433188,0.111618568312425,0.248041262916501,"",""
"logistic","g_Pseudidiomarina","T2DM",0.00989810414114373,-0.132517805835006,0.142663136422942,0.141394872973889,0.887558004355039,0.934271583531619,"",""
"logistic","g_Prauseria","T2DM",0.186723043476829,0.0765698579519728,0.290956388175002,3.42288399271086,0.00061960514355735,0.00833872856808527,"***","**"
"logistic","g_SMB53","T2DM",-0.17927572274113,-0.337637765570706,-0.0331242292076363,-2.31389849011816,0.0206732909659107,0.0689109698863691,"*",""
"logistic","g_Halomonas","T2DM",-0.0037240493655646,-0.144190333563307,0.129158930956247,-0.0535149234724068,0.957321640475959,0.957321640475959,"",""
"logistic","g_Phascolarctobacterium","T2DM",0.0110482692674239,-0.12465680324814,0.149080773567684,0.15833786192927,0.874190574929414,0.934271583531619,"",""
"logistic","g_Bilophila","T2DM",0.134525743743779,-0.000161126486180278,0.267135465622105,1.9747941823379,0.0482915095249918,0.127755660979671,"*",""
"logistic","g_Ralstonia","IFG_or_T2DM",0.108322713877111,0.000270618102928745,0.218074475158488,1.95062001573867,0.0511022643918684,0.127755660979671,"",""
"logistic","g_Sediminibacterium","IFG_or_T2DM",0.130963097344482,0.0245046727945776,0.238471610643976,2.40052264285727,0.0163716778427763,0.0654867113711053,"*",""
"logistic","g_Bradyrhizobium","IFG_or_T2DM",0.134691632304168,0.026350126197899,0.243733707558402,2.43007071671492,0.0150958771084271,0.0654867113711053,"*",""
"logistic","g_Adlercreutzia","IFG_or_T2DM",-0.0595541771418327,-0.168420577908007,0.0425703133916204,-1.10904175363602,0.267412170104367,0.486203945644303,"",""
"logistic","g_Pseudidiomarina","IFG_or_T2DM",0.141524768709835,0.039999855626686,0.239986626297528,2.77742904179448,0.00547908020250632,0.0365272013500421,"**","*"
"logistic","g_Prauseria","IFG_or_T2DM",0.148714847973515,0.059807389630643,0.23456256082827,3.3412992786471,0.000833872856808527,0.00833872856808527,"***","**"
"logistic","g_SMB53","IFG_or_T2DM",-0.0195082409137072,-0.126405851823738,0.0832849162189813,-0.365138996781824,0.715007652365867,0.934271583531619,"",""
"logistic","g_Halomonas","IFG_or_T2DM",0.0400929038570709,-0.0663015776744295,0.143094076197608,0.751352420196026,0.452440589266558,0.724242461465907,"",""
"logistic","g_Phascolarctobacterium","IFG_or_T2DM",-0.0719518999040607,-0.178566398745887,0.0355450540857399,-1.31797407954126,0.187512325089074,0.375024650178148,"",""
"logistic","g_Bilophila","IFG_or_T2DM",0.0153458211212584,-0.0934442963371747,0.122482406152632,0.278757437960613,0.780430979732084,0.934271583531619,"",""
"linear","g_Ralstonia","FPG",0.0143257847144236,-0.0426423709874371,0.0712939404162843,0.492872232646759,0.622140705530317,0.691267450589241,"",""
"linear","g_Sediminibacterium","FPG",0.014315820638575,-0.041711802459598,0.0703434437367455,0.500797487189091,0.616552191440432,0.691267450589241,"",""
"linear","g_Bradyrhizobium","FPG",0.0201580635336077,-0.0374074650477696,0.0777235921149849,0.686332246008813,0.492559255751859,0.691267450589241,"",""
"linear","g_Adlercreutzia","FPG",-0.0299596581438568,-0.0848649372384386,0.024945620950725,-1.06947550252748,0.284945713716685,0.673197448004318,"",""
"linear","g_Pseudidiomarina","FPG",0.0150559748623884,-0.0427526601766247,0.0728646099014016,0.510462986412092,0.609766534219166,0.691267450589241,"",""
"linear","g_Prauseria","FPG",0.0994138896438085,0.0471039726214285,0.151723806666206,3.724870050578,0.000199191838322882,0.00199191838322882,"***","**"
"linear","g_SMB53","FPG",-0.0618078608479852,-0.118590963912439,-0.00502475778352836,-2.13340192215294,0.0329766469791826,0.164883234895913,"*",""
"linear","g_Halomonas","FPG",0.0279280384359078,-0.0290272374572785,0.0848833143290938,0.961068990270284,0.336598724002159,0.673197448004318,"",""
"linear","g_Phascolarctobacterium","FPG",-0.0452858841489817,-0.10291802753859,0.0123462592406245,-1.54009024686151,0.123648983182233,0.412163277274111,"",""
"linear","g_Bilophila","FPG",-0.0105129007771934,-0.0676051256627575,0.0465793241083682,-0.360905656376911,0.718196629974851,0.718196629974851,"",""
