"term","OR_CI_Model1","OR_CI_Model2","OR_CI_Model3","pval_Model1","pval_Model2","pval_Model3","var_site_Model1","var_res_latent_Model1","ICC_Model1","N_Model1","clusters_Model1","AIC_Model1","BIC_Model1","var_site_Model2","var_res_latent_Model2","ICC_Model2","N_Model2","clusters_Model2","AIC_Model2","BIC_Model2","var_site_Model3","var_res_latent_Model3","ICC_Model3","N_Model3","clusters_Model3","AIC_Model3","BIC_Model3"
"(Intercept)","0.051 (0.029, 0.089)","0.159 (0.079, 0.32)","0.091 (0.032, 0.258)",1.87e-25,2.43e-07,6.69e-06,0.340682462649194,3.28986813369645,0.094,12246,130,6445.32814282845,6526.87064378087,0.312324825926598,3.28986813369645,0.087,12246,130,6070.09075174304,6166.45916195953,0.193406378082396,3.28986813369645,0.056,11900,130,5898.92041640074,6186.90786988562
"soft_drink_categoryCarbonated_beverage","1.438 (0.783, 2.64)","1.085 (0.585, 2.014)","1.137 (0.599, 2.155)",0.241,0.795,0.695,0.340682462649194,3.28986813369645,0.094,12246,130,6445.32814282845,6526.87064378087,0.312324825926598,3.28986813369645,0.087,12246,130,6070.09075174304,6166.45916195953,0.193406378082396,3.28986813369645,0.056,11900,130,5898.92041640074,6186.90786988562
"soft_drink_categoryColored_fruit_flavored_beverage","2.012 (0.969, 4.178)","1.517 (0.718, 3.207)","1.68 (0.778, 3.626)",0.0607,0.275,0.187,0.340682462649194,3.28986813369645,0.094,12246,130,6445.32814282845,6526.87064378087,0.312324825926598,3.28986813369645,0.087,12246,130,6070.09075174304,6166.45916195953,0.193406378082396,3.28986813369645,0.056,11900,130,5898.92041640074,6186.90786988562
"soft_drink_categoryFruit_and_vegetable_juice","1.649 (0.871, 3.121)","1.456 (0.759, 2.792)","1.553 (0.793, 3.041)",0.125,0.258,0.199,0.340682462649194,3.28986813369645,0.094,12246,130,6445.32814282845,6526.87064378087,0.312324825926598,3.28986813369645,0.087,12246,130,6070.09075174304,6166.45916195953,0.193406378082396,3.28986813369645,0.056,11900,130,5898.92041640074,6186.90786988562
"soft_drink_categoryDairy_based_beverages","1.148 (0.621, 2.122)","0.948 (0.507, 1.774)","0.971 (0.508, 1.857)",0.66,0.868,0.929,0.340682462649194,3.28986813369645,0.094,12246,130,6445.32814282845,6526.87064378087,0.312324825926598,3.28986813369645,0.087,12246,130,6070.09075174304,6166.45916195953,0.193406378082396,3.28986813369645,0.056,11900,130,5898.92041640074,6186.90786988562
"soft_drink_categoryPlant_protein_beverages","1.904 (1.016, 3.566)","1.583 (0.834, 3.005)","1.615 (0.833, 3.131)",0.0445,0.16,0.156,0.340682462649194,3.28986813369645,0.094,12246,130,6445.32814282845,6526.87064378087,0.312324825926598,3.28986813369645,0.087,12246,130,6070.09075174304,6166.45916195953,0.193406378082396,3.28986813369645,0.056,11900,130,5898.92041640074,6186.90786988562
"soft_drink_categoryTea_beverages","1.812 (0.952, 3.449)","1.538 (0.798, 2.962)","1.511 (0.764, 2.988)",0.0701,0.198,0.236,0.340682462649194,3.28986813369645,0.094,12246,130,6445.32814282845,6526.87064378087,0.312324825926598,3.28986813369645,0.087,12246,130,6070.09075174304,6166.45916195953,0.193406378082396,3.28986813369645,0.056,11900,130,5898.92041640074,6186.90786988562
"soft_drink_categoryBrewed_tea_or_coffee","0.756 (0.162, 3.53)","0.683 (0.144, 3.235)","0.688 (0.143, 3.302)",0.722,0.631,0.64,0.340682462649194,3.28986813369645,0.094,12246,130,6445.32814282845,6526.87064378087,0.312324825926598,3.28986813369645,0.087,12246,130,6070.09075174304,6166.45916195953,0.193406378082396,3.28986813369645,0.056,11900,130,5898.92041640074,6186.90786988562
"soft_drink_categoryOther_beverages","1.345 (0.607, 2.984)","1.192 (0.529, 2.688)","1.238 (0.531, 2.888)",0.466,0.672,0.621,0.340682462649194,3.28986813369645,0.094,12246,130,6445.32814282845,6526.87064378087,0.312324825926598,3.28986813369645,0.087,12246,130,6070.09075174304,6166.45916195953,0.193406378082396,3.28986813369645,0.056,11900,130,5898.92041640074,6186.90786988562
"soft_drink_categoryMixed","1.375 (0.788, 2.398)","1.165 (0.661, 2.052)","1.2 (0.667, 2.161)",0.262,0.597,0.543,0.340682462649194,3.28986813369645,0.094,12246,130,6445.32814282845,6526.87064378087,0.312324825926598,3.28986813369645,0.087,12246,130,6070.09075174304,6166.45916195953,0.193406378082396,3.28986813369645,0.056,11900,130,5898.92041640074,6186.90786988562
