"term","est_ci_Model1","est_ci_Model2","est_ci_Model3","pval_Model1","pval_Model2","pval_Model3","var_site_Model1","var_res_Model1","ICC_Model1","N_Model1","clusters_Model1","AIC_Model1","BIC_Model1","var_site_Model2","var_res_Model2","ICC_Model2","N_Model2","clusters_Model2","AIC_Model2","BIC_Model2","var_site_Model3","var_res_Model3","ICC_Model3","N_Model3","clusters_Model3","AIC_Model3","BIC_Model3"
"(Intercept)","0.228 (0.077, 0.379)","0.295 (0.106, 0.484)","0.374 (0.046, 0.703)",0.00314,0.00223,0.0256,0.101782898240872,1.27946065045928,0.074,12246,130,38062.3076893345,38151.263144919,0.0994449886299228,1.26075170696626,0.073,12246,130,37884.9712896996,37988.7526545481,0.0853781755923539,1.25502980159609,0.064,11900,130,36801.279478667,37096.651225831
"soft_drink_categoryCarbonated_beverage","-0.059 (-0.22, 0.102)","-0.123 (-0.283, 0.037)","-0.132 (-0.297, 0.032)",0.475,0.133,0.115,0.101782898240872,1.27946065045928,0.074,12246,130,38062.3076893345,38151.263144919,0.0994449886299228,1.26075170696626,0.073,12246,130,37884.9712896996,37988.7526545481,0.0853781755923539,1.25502980159609,0.064,11900,130,36801.279478667,37096.651225831
"soft_drink_categoryColored_fruit_flavored_beverage","0.061 (-0.154, 0.276)","0.014 (-0.2, 0.228)","0.024 (-0.195, 0.242)",0.579,0.897,0.831,0.101782898240872,1.27946065045928,0.074,12246,130,38062.3076893345,38151.263144919,0.0994449886299228,1.26075170696626,0.073,12246,130,37884.9712896996,37988.7526545481,0.0853781755923539,1.25502980159609,0.064,11900,130,36801.279478667,37096.651225831
"soft_drink_categoryFruit_and_vegetable_juice","-0.036 (-0.213, 0.141)","-0.047 (-0.223, 0.129)","-0.073 (-0.253, 0.106)",0.693,0.6,0.423,0.101782898240872,1.27946065045928,0.074,12246,130,38062.3076893345,38151.263144919,0.0994449886299228,1.26075170696626,0.073,12246,130,37884.9712896996,37988.7526545481,0.0853781755923539,1.25502980159609,0.064,11900,130,36801.279478667,37096.651225831
"soft_drink_categoryDairy_based_beverages","-0.132 (-0.291, 0.028)","-0.151 (-0.309, 0.008)","-0.161 (-0.324, 0.002)",0.106,0.0627,0.0522,0.101782898240872,1.27946065045928,0.074,12246,130,38062.3076893345,38151.263144919,0.0994449886299228,1.26075170696626,0.073,12246,130,37884.9712896996,37988.7526545481,0.0853781755923539,1.25502980159609,0.064,11900,130,36801.279478667,37096.651225831
"soft_drink_categoryPlant_protein_beverages","-0.043 (-0.217, 0.131)","-0.072 (-0.245, 0.101)","-0.077 (-0.253, 0.1)",0.629,0.414,0.393,0.101782898240872,1.27946065045928,0.074,12246,130,38062.3076893345,38151.263144919,0.0994449886299228,1.26075170696626,0.073,12246,130,37884.9712896996,37988.7526545481,0.0853781755923539,1.25502980159609,0.064,11900,130,36801.279478667,37096.651225831
"soft_drink_categoryTea_beverages","0.039 (-0.14, 0.217)","-0.004 (-0.182, 0.174)","-0.032 (-0.215, 0.15)",0.673,0.964,0.728,0.101782898240872,1.27946065045928,0.074,12246,130,38062.3076893345,38151.263144919,0.0994449886299228,1.26075170696626,0.073,12246,130,37884.9712896996,37988.7526545481,0.0853781755923539,1.25502980159609,0.064,11900,130,36801.279478667,37096.651225831
"soft_drink_categoryBrewed_tea_or_coffee","0.072 (-0.282, 0.426)","0.038 (-0.313, 0.39)","-0.012 (-0.371, 0.347)",0.689,0.831,0.948,0.101782898240872,1.27946065045928,0.074,12246,130,38062.3076893345,38151.263144919,0.0994449886299228,1.26075170696626,0.073,12246,130,37884.9712896996,37988.7526545481,0.0853781755923539,1.25502980159609,0.064,11900,130,36801.279478667,37096.651225831
"soft_drink_categoryOther_beverages","-0.117 (-0.341, 0.107)","-0.136 (-0.359, 0.086)","-0.139 (-0.366, 0.087)",0.306,0.229,0.228,0.101782898240872,1.27946065045928,0.074,12246,130,38062.3076893345,38151.263144919,0.0994449886299228,1.26075170696626,0.073,12246,130,37884.9712896996,37988.7526545481,0.0853781755923539,1.25502980159609,0.064,11900,130,36801.279478667,37096.651225831
"soft_drink_categoryMixed","-0.062 (-0.205, 0.081)","-0.093 (-0.235, 0.049)","-0.116 (-0.262, 0.03)",0.393,0.2,0.119,0.101782898240872,1.27946065045928,0.074,12246,130,38062.3076893345,38151.263144919,0.0994449886299228,1.26075170696626,0.073,12246,130,37884.9712896996,37988.7526545481,0.0853781755923539,1.25502980159609,0.064,11900,130,36801.279478667,37096.651225831
